当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
1.640000	-0.061468	-0.013575	0.005224	0.008720	0.000006	0.000016
1.650000	-0.061456	-0.008727	0.001510	0.005106	0.000025	0.000025
1.660000	-0.061444	-0.012467	0.001988	0.000704	0.000023	0.000025
1.670000	-0.061419	-0.012467	0.001575	0.001878	0.000021	0.000024
1.680000	-0.061370	-0.008727	0.002094	0.012185	0.000017	0.000022
1.690000	-0.061297	-0.017453	0.001727	0.003121	0.000026	0.000024
1.700000	-0.061211	-0.017453	0.002458	0.003771	0.000014	0.000016
1.710000	-0.061113	-0.012467	0.003787	0.004011	0.000012	0.000015
1.720000	-0.061002	-0.012467	0.003972	0.004334	0.000012	0.000015
1.730000	-0.060904	-0.012467	0.001353	0.000593	0.000005	0.000011
1.740000	-0.060781	-0.008727	0.003032	0.000847	0.000007	0.000007
1.750000	-0.060659	-0.008727	0.005068	0.006488	0.000017	0.000004
1.759000	-0.060524	-0.008727	0.004242	0.002196	0.000016	0.000005
1.770000	-0.060364	-0.017453	0.001040	0.011632	0.000012	0.000016
1.780000	-0.060217	-0.017453	0.001163	0.003098	0.000032	0.000024
1.790000	-0.060070	-0.017453	0.004888	0.010085	0.000042	0.000027
1.799000	-0.059910	-0.017453	0.007157	0.013322	0.000049	0.000030
1.810000	-0.059714	-0.017453	0.007163	0.002856	0.000056	0.000032
1.820000	-0.059493	-0.008727	0.009853	0.012660	0.000041	0.000027
1.830000	-0.059248	-0.008727	0.011397	0.010446	0.000029	0.000023
1.840000	-0.058966	-0.008727	0.009113	0.007480	0.000018	0.000019
1.850000	-0.058647	-0.017453	0.010882	0.017143	0.000028	0.000023
1.860000	-0.058303	-0.017453	0.011744	0.022774	0.000036	0.000026
1.870000	-0.057935	-0.017453	0.001093	0.003213	0.000036	0.000025
1.880000	-0.057555	-0.008727	0.004465	0.008102	0.000036	0.000025
1.890000	-0.057089	-0.008727	0.004201	0.008357	0.000036	0.000025
1.900000	-0.056647	-0.017453	0.013501	0.012831	0.000036	0.000025
1.910000	-0.056181	-0.013575	0.016125	0.017441	0.000022	0.000019
1.920000	-0.055703	-0.013575	0.011770	0.011692	0.000011	0.000015
1.930000	-0.055175	-0.008727	0.008180	0.009390	0.000007	0.000013
1.940000	-0.054685	-0.020362	0.014529	0.000945	0.000047	0.000028
1.950000	-0.054182	-0.020362	0.012764	0.017140	0.000061	0.000034
1.960000	-0.053630	-0.013575	0.012840	0.012764	0.000059	0.000033
1.970000	-0.052967	-0.013575	0.012400	0.012509	0.000058	0.000033
1.980000	-0.052317	-0.008727	0.014204	0.015828	0.000060	0.000034
1.990000	-0.051655	-0.008727	0.001539	0.001125	0.000018	0.000019
2.000000	-0.050919	-0.008727	0.003656	0.003991	0.000014	0.000007
2.009000	-0.050183	-0.004987	0.007608	0.010138	0.000006	0.000012
2.020000	-0.049373	-0.004987	0.009891	0.008838	0.000002	0.000014
