当前时刻	小车位置	摆杆偏角	指标1	指标2	
3.700000	-0.091190	0.000000	0.018359	0.000116
3.710000	-0.090503	0.000000	0.018973	0.000108
3.721000	-0.089522	0.000000	0.018688	0.000094
3.730000	-0.088443	0.000000	0.016978	0.000067
3.740000	-0.087204	-0.004987	0.018405	0.000073
3.750000	-0.085854	-0.004987	0.013487	0.000111
3.761000	-0.084284	-0.004987	0.017652	0.000161
3.770000	-0.082886	0.000000	0.021218	0.000177
3.780000	-0.081512	0.000000	0.027101	0.000201
3.790000	-0.080138	-0.003491	0.019622	0.000226
3.800000	-0.078703	-0.004987	0.048890	0.000281
3.810000	-0.076961	-0.004987	0.031663	0.000331
3.820000	-0.075293	0.006981	0.027211	0.000314
3.830000	-0.073759	-0.003491	0.014903	0.000372
3.840000	-0.072398	-0.003491	0.008099	0.000359
3.850000	-0.071098	0.010472	0.026727	0.000262
3.860000	-0.070067	0.021817	0.014912	0.000268
3.870000	-0.069172	0.021817	0.012668	0.000342
3.880000	-0.068289	0.005818	0.004389	0.000270
3.890000	-0.067283	0.005818	0.000797	0.000215
3.900000	-0.066399	0.004987	0.007500	0.000209
3.910000	-0.065553	0.002909	0.005223	0.000115
3.920000	-0.064694	0.002909	0.000817	0.000051
3.930000	-0.063787	0.031416	0.036771	0.000339
3.940000	-0.063124	0.008727	0.041207	0.000329
3.950000	-0.062634	0.008727	0.033963	0.000316
3.960000	-0.062180	0.000000	0.035761	0.000329
3.971000	-0.061615	0.002909	0.039998	0.000325
3.980000	-0.061027	0.002909	0.002802	0.000032
3.990000	-0.060389	0.004987	0.001110	0.000033
4.000000	-0.059714	0.004987	0.001447	0.000033
4.011000	-0.059113	0.008727	0.007507	0.000014
4.020000	-0.058696	0.009973	0.007825	0.000030
4.030000	-0.058389	0.009973	0.011837	0.000050
4.040000	-0.058193	0.008727	0.016979	0.000074
4.050000	-0.058107	0.027925	0.045016	0.000433
4.060000	-0.058095	0.027925	0.031142	0.000702
4.070000	-0.058095	0.014544	0.034688	0.000708
4.080000	-0.058095	0.000000	0.032821	0.000699
4.090000	-0.058095	0.000000	0.035831	0.000691
4.100000	-0.058070	0.017453	0.012295	0.000405
4.110000	-0.057862	0.017453	0.016139	0.000165
4.120000	-0.057298	0.027925	0.017052	0.000245
4.130000	-0.056513	0.017453	0.020528	0.000229
4.140000	-0.055605	0.017453	0.023479	0.000213
4.150000	-0.054832	0.004987	0.020803	0.000247
4.160000	-0.054206	0.017453	0.012672	0.000208
4.170000	-0.053789	0.017453	0.011953	0.000097
4.180000	-0.053421	0.017453	0.014432	0.000097
4.190000	-0.053078	0.031998	0.023752	0.000193
4.200000	-0.052894	0.031998	0.009965	0.000154
4.210000	-0.052808	0.014544	0.011545	0.000189
4.221000	-0.052636	0.014544	0.021403	0.000236
4.230000	-0.052293	0.023271	0.021502	0.000231
4.240000	-0.051863	0.034907	0.037660	0.000196
4.250000	-0.051569	0.034907	0.039371	0.000179
4.261000	-0.051520	0.034907	0.020870	0.000186
4.270000	-0.051557	0.030543	0.007642	0.000149
4.280000	-0.051704	0.030543	0.011075	0.000163
4.290000	-0.052047	0.034907	0.010865	0.000149
4.300000	-0.052612	0.034907	0.011548	0.000146
4.310000	-0.053495	0.034907	0.007175	0.000144
4.320000	-0.054464	0.030543	0.013657	0.000146
