当前时刻	小车位置	摆杆偏角	残差范数	
4.100000	-0.074876	0.000000	0.011871
4.111000	-0.075268	-0.008727	0.001017
4.121000	-0.075636	-0.008727	0.000782
4.130000	-0.076017	-0.022440	0.013103
4.140000	-0.076434	-0.022440	0.010711
4.151000	-0.076887	-0.004987	0.008857
4.161000	-0.077305	-0.004987	0.007533
4.170000	-0.077673	-0.004987	0.006327
4.180000	-0.078016	-0.012467	0.002216
4.191000	-0.078384	-0.008727	0.001958
4.201000	-0.078703	-0.008727	0.001693
4.210000	-0.079034	0.000000	0.010201
4.220000	-0.079365	-0.017453	0.008993
4.231000	-0.079733	-0.017453	0.007352
4.241000	-0.080077	0.000000	0.011569
4.250000	-0.080420	0.000000	0.009706
4.260000	-0.080764	-0.004987	0.003076
4.271000	-0.081169	-0.008727	0.001176
4.281000	-0.081537	-0.008727	0.000901
4.290000	-0.081929	-0.008727	0.000615
4.300000	-0.082297	0.000000	0.008388
4.310000	-0.082677	0.000000	0.007080
4.321000	-0.083094	0.000000	0.005955
4.331000	-0.083462	-0.017453	0.012436
4.340000	-0.083855	-0.017453	0.010065
4.350000	-0.084247	0.000000	0.009499
4.361000	-0.084714	0.000000	0.008185
4.371000	-0.085131	-0.008727	0.001728
4.380000	-0.085548	0.000000	0.007529
4.390000	-0.085965	0.000000	0.006440
4.401000	-0.086468	0.000000	0.005503
4.411000	-0.086934	-0.012467	0.007747
4.420000	-0.087400	-0.012467	0.006145
4.430000	-0.087866	0.000000	0.007758
4.441000	-0.088369	-0.004987	0.001783
4.451000	-0.088811	-0.004987	0.001796
4.460000	-0.089265	-0.012467	0.005670
4.470000	-0.089731	-0.004987	0.003166
4.481000	-0.090234	-0.004987	0.002998
4.491000	-0.090687	-0.004987	0.002825
4.500000	-0.091190	-0.004987	0.002660
4.510000	-0.091693	-0.017453	0.009959
4.521000	-0.092245	-0.004987	0.004614
4.531000	-0.092724	-0.004987	0.004199
4.540000	-0.093178	-0.017453	0.008670
4.550000	-0.093607	-0.004987	0.005666
4.560000	-0.094036	-0.004987	0.005038
4.571000	-0.094490	-0.008727	0.000710
4.581000	-0.094883	-0.017453	0.007879
4.590000	-0.095275	-0.017453	0.006195
4.600000	-0.095680	-0.012467	0.000241
4.611000	-0.096122	-0.013575	0.000561
4.621000	-0.096514	-0.013575	0.000203
4.630000	-0.096870	-0.017453	0.003726
4.640000	-0.097201	-0.017453	0.002826
4.651000	-0.097532	-0.008727	0.006640
4.661000	-0.097802	-0.017453	0.003081
4.670000	-0.098023	-0.017453	0.002426
4.680000	-0.098207	-0.008727	0.006843
4.691000	-0.098379	-0.022440	0.008004
4.701000	-0.098514	-0.022440	0.006563
4.710000	-0.098636	-0.008727	0.008388
4.720000	-0.098722	-0.008727	0.006958
4.731000	-0.098783	-0.008727	0.005661
4.741000	-0.098820	-0.017453	0.004204
4.750000	-0.098845	-0.017453	0.003611
4.760000	-0.098857	-0.017453	0.003067
4.771000	-0.098857	-0.012467	0.002401
4.781000	-0.098857	-0.012467	0.001911
4.790000	-0.098857	-0.013575	0.000359
4.800000	-0.098845	-0.008727	0.005015
4.810000	-0.098845	-0.008727	0.003981
4.821000	-0.098833	-0.008727	0.003091
4.831000	-0.098833	-0.008727	0.002344
4.840000	-0.098820	-0.008727	0.001735
4.850000	-0.098820	-0.004987	0.004989
4.861000	-0.098808	-0.008727	0.000206
4.871000	-0.098783	-0.008727	0.000025
4.880000	-0.098771	-0.008727	0.000104
4.890000	-0.098759	-0.008727	0.000156
4.901000	-0.098722	-0.004987	0.003594
4.911000	-0.098673	-0.008727	0.000810
4.920000	-0.098636	-0.008727	0.000686
4.930000	-0.098612	-0.008727	0.000550
4.941000	-0.098563	-0.008727	0.000422
4.951000	-0.098526	-0.008727	0.000298
4.960000	-0.098489	-0.008727	0.000187
4.970000	-0.098452	-0.008727	0.000092
4.981000	-0.098391	-0.012467	0.003754
4.991000	-0.098342	-0.017453	0.008018
5.000000	-0.098268	-0.017453	0.006509
5.010000	-0.098182	-0.017453	0.005230
5.021000	-0.098072	-0.012467	0.000825
5.031000	-0.097925	-0.012467	0.000779
5.040000	-0.097741	-0.008727	0.004378
5.050000	-0.097520	-0.008727	0.003540
5.060000	-0.097275	-0.008727	0.002771
5.071000	-0.096956	-0.013575	0.002764
5.081000	-0.096661	-0.017453	0.006361
5.090000	-0.096342	-0.017453	0.005409
5.100000	-0.095999	-0.008727	0.004142
5.111000	-0.095582	-0.012467	0.000479
5.121000	-0.095189	-0.012467	0.000601
5.130000	-0.094772	-0.008727	0.003021
5.140000	-0.094367	-0.008727	0.002232
5.151000	-0.093889	-0.017453	0.007186
5.161000	-0.093447	-0.004987	0.006255
5.170000	-0.092994	-0.004987	0.004878
5.180000	-0.092515	-0.020362	0.011700
5.191000	-0.092000	-0.008727	0.001673
5.201000	-0.091497	-0.008727	0.001123
5.210000	-0.090957	-0.004987	0.004376
5.220000	-0.090405	-0.012467	0.004198
5.231000	-0.089780	-0.012467	0.003796
5.241000	-0.089228	-0.017453	0.008407
5.250000	-0.088676	-0.017453	0.007182
5.260000	-0.088124	-0.008727	0.002598
5.271000	-0.087474	-0.008727	0.001908
5.281000	-0.086873	-0.008727	0.001264
5.290000	-0.086210	-0.017453	0.008060
5.300000	-0.085499	-0.017453	0.007013
5.310000	-0.084750	-0.017453	0.006107
5.321000	-0.083929	-0.008727	0.003380
5.331000	-0.083193	-0.012467	0.001316
5.340000	-0.082420	-0.012467	0.001524
5.350000	-0.081598	-0.012467	0.001724
5.361000	-0.080653	-0.013963	0.003405
5.371000	-0.079733	-0.013963	0.003313
5.380000	-0.078813	-0.004987	0.005732
5.390000	-0.077869	-0.004987	0.004168
5.401000	-0.076826	0.000000	0.007785
5.411000	-0.075845	-0.004987	0.000740
5.420000	-0.074827	-0.004987	0.000161
5.430000	-0.073796	0.000000	0.004214
5.441000	-0.072717	0.000000	0.002822
5.451000	-0.071735	0.000000	0.001676
5.460000	-0.070766	0.000000	0.000766
5.470000	-0.069785	0.000000	0.000209
5.481000	-0.068730	0.000000	0.000603
5.491000	-0.067773	0.002909	0.001992
5.500000	-0.066878	0.002909	0.001177
5.510000	-0.065982	0.000000	0.002393
5.521000	-0.065013	0.002909	0.000556
5.531000	-0.064106	0.002909	0.000149
5.540000	-0.063235	0.000000	0.003182
5.550000	-0.062401	0.013963	0.011035
5.560000	-0.061566	0.013963	0.008785
5.571000	-0.060683	0.000000	0.007102
5.581000	-0.059874	0.000000	0.006197
5.590000	-0.059064	0.000000	0.005324
5.600000	-0.058291	0.013963	0.009442
5.611000	-0.057482	0.013963	0.007651
5.621000	-0.056782	0.000000	0.007864
5.630000	-0.056083	0.000000	0.006666
5.640000	-0.055384	0.000000	0.005568
5.651000	-0.054611	0.000000	0.004597
5.661000	-0.053912	0.002909	0.000857
5.670000	-0.053237	0.002909	0.000695
5.680000	-0.052575	0.010472	0.006992
5.691000	-0.051851	0.010472	0.005698
5.701000	-0.051177	0.010472	0.004553
5.710000	-0.050502	0.004987	0.001920
5.720000	-0.049790	0.000000	0.006733
5.731000	-0.049005	0.000000	0.005646
5.741000	-0.048318	0.000000	0.004673
5.750000	-0.047668	0.000000	0.003831
5.760000	-0.047055	0.000000	0.003125
