当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	inc11u	inc12u	inc2u	
1.681000	-0.010942	-0.008727	0.000022	0.000009	0.000003	0.000029	0.000711	0.000012	0.000022	0.000009	0.000003
1.691000	-0.011150	0.000000	0.000030	0.000034	0.000018	0.000044	0.000720	0.000018	0.000030	0.000034	0.000018
1.700000	-0.011347	-0.008727	0.000035	0.000032	0.000026	0.000052	0.000698	0.000022	0.000035	0.000032	0.000026
1.710000	-0.011555	-0.008727	0.000020	0.000027	0.000021	0.000046	0.000684	0.000019	0.000020	0.000027	0.000021
1.721000	-0.011751	-0.008727	0.000003	0.000008	0.000013	0.000039	0.000676	0.000017	0.000003	0.000008	0.000013
1.731000	-0.011923	-0.008727	0.000007	0.000002	0.000008	0.000034	0.000662	0.000014	0.000007	0.000002	0.000008
1.741000	-0.012095	0.000000	0.000048	0.000030	0.000017	0.000042	0.000623	0.000018	0.000048	0.000030	0.000017
1.750000	-0.012242	-0.008727	0.000053	0.000047	0.000013	0.000038	0.000584	0.000016	0.000053	0.000047	0.000013
1.760000	-0.012377	-0.008727	0.000054	0.000065	0.000010	0.000036	0.000533	0.000015	0.000054	0.000065	0.000010
1.771000	-0.012512	-0.008727	0.000034	0.000044	0.000009	0.000034	0.000474	0.000014	0.000034	0.000044	0.000009
1.781000	-0.012622	0.000000	0.000038	0.000046	0.000030	0.000055	0.000415	0.000023	0.000038	0.000046	0.000030
1.790000	-0.012721	0.000000	0.000001	0.000018	0.000022	0.000048	0.000387	0.000020	0.000001	0.000018	0.000022
1.800000	-0.012806	0.000000	0.000008	0.000027	0.000028	0.000053	0.000442	0.000023	0.000008	0.000027	0.000028
1.811000	-0.012905	-0.004987	0.000003	0.000007	0.000026	0.000051	0.000537	0.000022	0.000003	0.000007	0.000026
1.821000	-0.012978	-0.004987	0.000011	0.000014	0.000024	0.000050	0.000585	0.000022	0.000011	0.000014	0.000024
1.830000	-0.013064	-0.008727	0.000018	0.000014	0.000013	0.000039	0.000609	0.000016	0.000018	0.000014	0.000013
1.840000	-0.013162	-0.008727	0.000007	0.000000	0.000006	0.000031	0.000591	0.000013	0.000007	0.000000	0.000006
1.851000	-0.013273	-0.004987	0.000001	0.000002	0.000004	0.000021	0.000522	0.000009	0.000001	0.000002	0.000004
1.861000	-0.013358	0.000000	0.000007	0.000039	0.000008	0.000034	0.000409	0.000014	0.000007	0.000039	0.000008
1.870000	-0.013444	0.000000	0.000009	0.000003	0.000016	0.000041	0.000357	0.000017	0.000009	0.000003	0.000016
1.880000	-0.013530	0.000000	0.000011	0.000002	0.000010	0.000036	0.000358	0.000015	0.000011	0.000002	0.000010
1.891000	-0.013616	0.000000	0.000011	0.000022	0.000005	0.000031	0.000401	0.000014	0.000011	0.000022	0.000005
1.901000	-0.013690	0.000000	0.000005	0.000005	0.000007	0.000033	0.000450	0.000015	0.000005	0.000005	0.000007
1.910000	-0.013788	0.000000	0.000003	0.000006	0.000004	0.000021	0.000503	0.000010	0.000003	0.000006	0.000004
1.920000	-0.013874	-0.004987	0.000006	0.000006	0.000006	0.000019	0.000538	0.000008	0.000006	0.000006	0.000006
1.931000	-0.013996	-0.004987	0.000001	0.000004	0.000007	0.000018	0.000519	0.000008	0.000001	0.000004	0.000007
1.941000	-0.014131	0.000000	0.000015	0.000004	0.000008	0.000017	0.000484	0.000007	0.000015	0.000004	0.000008
1.950000	-0.014254	0.000000	0.000012	0.000015	0.000008	0.000017	0.000441	0.000007	0.000012	0.000015	0.000008
1.960000	-0.014389	0.000000	0.000018	0.000018	0.000008	0.000017	0.000402	0.000007	0.000018	0.000018	0.000008
1.971000	-0.014548	0.000000	0.000012	0.000013	0.000014	0.000012	0.000375	0.000005	0.000012	0.000013	0.000014
1.981000	-0.014683	0.000000	0.000013	0.000012	0.000018	0.000008	0.000382	0.000003	0.000013	0.000012	0.000018
1.991000	-0.014843	0.000000	0.000010	0.000011	0.000020	0.000005	0.000391	0.000002	0.000010	0.000011	0.000020
